Description;Domain;Media channel used;Audience (primary / secondary);language
01net_fr;Tech;news website;Car enthusiasts / Tech pioneers;french
ademe_fr;Public;organisation website;all;french
auto_bfmtv_fr;;;Car enthusiasts;french
automobile_entreprise_fr;Car manufacturing;blog;Car enthusiasts;french
automotiveworld;;;Car enthusiasts;english
autonews_fr;;;Car enthusiasts;french
avere_france_fr;Public;organisation website;Conscious thinkers / City makers;french
bmw_2;Car brand;;Car enthusiasts;english
bmw;Car brand;;Car enthusiasts;english
bmw_fr;Car brand;;Car enthusiasts;french
businessinsider_fr;;;Car enthusiasts;french
carandbike;Car manufacturing;;Car enthusiasts;english
caranddriver;Car manufacturing;;Car enthusiasts;english
cars;Car manufacturing;;Car enthusiasts;english
ces2020;Tech;event website;Tech pioneers / Conscious thinkers;english
chevrolet;Car brand;;Car enthusiasts;english
chevrolet_fr;Car brand;;Car enthusiasts;french
citroen;Car brand;;all;english
clubic_fr;Tech;news website;Car enthusiasts / Tech pioneers;french
cnet;Multiple;news website;all;english
continental_tires;;;Car enthusiasts;english
dacia_fr;Car brand;;Car enthusiasts;french
deloitte;;;Conscious thinkers;english
digitaltrends;;;Car enthusiasts / Tech Pioneers;english
ecologique_solidaire_gouv_fr;Public;organisation website;Conscious thinkers / City makers;french
edition_cnn;;;Tech Pioneers;english
enelx;Energy;blog;Conscious thinkers / City makers;english
energy;Energy;;Car enthusiasts / Conscious thinkers;english
eurocities;Politics;organisation website;all;english
european_commission;Politics;organisation website;Car enthusiasts / City makers;english
evgo;;;Car enthusiasts;english
fiat;Car brand;;Car enthusiasts;english
fiat_almost_dynamic_crawl;Car brand;;Car enthusiasts;english
fiat_newsroom;Car brand;;all;english
forbes;;;Car enthusiasts / City makers;english
ford_fr;Car brand;;Car enthusiasts;french
geneva2020_manuf;Car manufacturing;company website;all;english
geneva2020_sites;event website;;all;english
groupe_psa;Car brand;blog;Car enthusiasts;english
groupe_psa_fr;Car brand;company website;Car enthusiasts;french
groupe_psa_newsroom;Car brand;;all;english
groupe_renault;Car brand;company website;all;english
howstuffworks;;;Car enthusiasts;english
inmvt;Future trends;blog;Conscious thinkers;english
ipsos;Statistics;blog;Conscious thinkers;english
itsocial_fr;Future trends;blog;all;french
kia;Car brand;;Car enthusiasts;english
kia_fr;Car brand;;Car enthusiasts;french
kia_media;Car brand;;Car enthusiasts;english
kia_press;Car brand;;Car enthusiasts;english
kpmg;;;Conscious thinkers;english
kpmg_a_i;;;Conscious thinkers;english
latribuneauto_fr;;;Car enthusiasts;french
leshorizons_fr;Future trends;blog;City makers / Conscious thinkers;french
lesnumeriques_fr;Tech;blog;Car enthusiasts / Tech pioneers;french
luxresearchinc;;;Conscious thinkers;english
mckinsey;Multiple;news website;all;english
mercedes;Car brand;company website;all;english
mercedes_eq_innovation;Car brand;;all;english
mobility_ch;Shared economy;service provider landing page;Conscious thinkers / City makers;english
motortrend;Car manufacturing;news website;Car enthusiasts;english
pwc;Car manufacturing;blog;Car enthusiasts / City makers;english
renault_media;Car brand;company website;Car enthusiasts;english
renault_media_fr;Car brand;company website;all;french
renault_onair;Car brand;blog;Car enthusiasts;english
renault_onair_fr;Car brand;blog;all;french
scania;Multiple;blog;Car enthusiasts / Conscious thinkers;english
share_now;Shared economy;blog;Conscious thinkers / City makers;english
smartcitiesworld;Future trends;news website;City makers / Conscious thinkers;english
smartcitymag_fr;Future trends;blog;City makers;french
tesla;Car brand;;Car enthusiasts;english
tesla_blog_presskit;Car brand;;all;english
tesla_fr;Car brand;;Car enthusiasts;french
tomsguide_fr;Tech;company website;Tech pioneers / City makers;french
topgear;;;Car enthusiasts;english
toyota;Car brand;company website;Car enthusiasts;english
toyota_newsroom;Car brand;company website;all;english
transdev_fr;Shared economy;company website;City makers / Conscious thinkers;french
trendhunter;Future trends;blog;all;english
turbo_fr;;;Car enthusiasts;french
urban_hub;Future trends;interactive platform;City makers / Conscious thinkers;english
usine_digitale_fr;Tech;blog;Tech pioneers;french
usinenouvelle_fr;Multiple;blog;all;french
usinenouvelle_psa_fr;Car manufacturing;blog;Car enthusiasts;french
usinenouvelle_renault_fr;Car manufacturing;blog;Car enthusiasts;french
valeo;Shared economy;company website;Conscious thinkers;english
valeo_fr;Shared economy;company website;Conscious thinkers;french
veolia_fr;Energy;company website;City makers;french
villeintelligente_mag_fr;Future trends;blog;City makers / Conscious thinkers;french
volkswagen;Car brand;;Car enthusiasts;english
volkswagen_fr;Car brand;;Car enthusiasts;french
volkswagen_newsroom_2;Car brand;;Car enthusiasts;english
whatcar;Car manufacturing;;Car enthusiasts;english
wired;;;Car enthusiasts;english
