Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
coup de pates,2,2,3600,72.2,0.00,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,93,6.2,0.00,0,975000,"[66,82,82,82,82,66,55,82,100,82,82,100]",1585554122,"Knowledge panel, Image pack, Site links, Video Carousel"
cuisine shop,49,49,1300,76.23,0.27,https://www.aryztafoodsolutions.fr/Shop,0,0,0.00,0.2,2410000000,"[100,84,68,68,53,46,38,53,84,100,84,68]",1585175440,"Knowledge panel, Image pack, Site links"
aryzta,1,1,1000,76.06,0.00,https://www.aryztafoodsolutions.fr/,800,53.4,0.00,0,807000,"[46,53,53,46,46,53,46,53,100,53,46,68]",1585018716,"Knowledge panel, Local pack, Image pack, Site links, Video Carousel"
patis service,72,72,480,84,0.00,https://www.aryztafoodsolutions.fr/notre-societe/nos-implantations,0,0,0.00,0.01,951000,"[81,81,81,100,66,81,54,66,100,100,100,100]",1585026150,"Local pack, Image pack"
starbucks caen,20,19,480,82.77,0.00,https://www.aryztafoodsolutions.fr/offre/-/11845,0,0,0.00,0,67,"[44,54,67,54,54,67,100,67,82,67,82,67]",1585552700,"Image pack, Video"
shopnfood,98,98,390,72.43,0.12,https://www.aryztafoodsolutions.fr/Shop,0,0,0.00,0.04,8980000000,"[37,7,7,13,9,100,30,7,5,2,2,5]",1584726711,"Knowledge panel, Image pack, Site links, Reviews"
picto panier,76,76,320,70.76,0.00,https://www.aryztafoodsolutions.fr/Shop,0,0,0.00,0.01,5010000,"[35,35,29,29,54,81,54,81,100,100,81,100]",1585030125,Image pack
boulangerie ferrieres en brie,45,45,260,82.08,0.00,https://www.aryztafoodsolutions.fr/,0,0,0.00,0,93,"[66,81,44,100,100,81,44,100,100,66,66,66]",1584925218,"Local pack, Image pack, Video"
shop food,77,77,260,68.84,0.32,https://www.aryztafoodsolutions.fr/Shop,0,0,0.00,0.04,10040000000,"[100,44,36,44,36,100,54,29,29,29,19,29]",1585159302,"Knowledge panel, Image pack, Site links"
pates marque,66,66,260,83.79,0.00,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,0,0,0.00,1,22000000,"[28,44,36,36,44,54,67,82,100,82,67,100]",1584477351,"Image pack, Reviews, Video Carousel"
aryzta food solutions,1,1,260,64.37,2.71,https://www.aryztafoodsolutions.fr/,208,13.88,563.00,0.07,241000,"[54,44,54,82,44,67,44,82,82,67,54,100]",1584587450,"Local pack, Image pack, Site links, Reviews, Video Carousel"
pilote de flux,59,59,210,75.86,0.00,https://www.aryztafoodsolutions.fr/Aryzta-Food-Solutions/Objets/Offres/Aryzta_%20Pilote%20de%20flux%20H-F.pdf,0,0,0.00,0.01,23200000,"[66,81,66,100,66,81,53,66,81,66,66,81]",1584587415,"Image pack, Video Carousel"
boulangerie rousset,60,60,210,85.93,0.00,https://www.aryztafoodsolutions.fr/,0,0,0.00,0,1010000,"[53,53,66,53,66,81,100,81,53,66,81,81]",1585248622,"Local pack, Image pack, Site links, Video"
philippe astruc,35,35,210,89.69,0.00,https://www.aryztafoodsolutions.fr/notre-societe,0,0,0.00,0,1060000,"[15,29,15,19,24,24,15,19,36,100,29,100]",1585159295,"Knowledge panel, Site links, Video Carousel, FAQ"
coup de pâte,2,2,210,82.66,0.61,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,5,0.33,3.00,0.03,17900000,"[44,54,67,54,54,44,44,54,67,67,54,100]",1585285657,"Knowledge panel, Image pack, Site links, Image, Video Carousel"
presentoir donuts,45,45,170,71.35,0.18,https://www.aryztafoodsolutions.fr/marques/Otis-Spunkmeyer,0,0,0.00,1,206000,"[16,22,28,34,44,44,34,66,66,66,66,100]",1584654991,"Image pack, Reviews, Image"
aryzta france,1,1,170,83.01,0.00,https://www.aryztafoodsolutions.fr/,136,9.07,0.00,0,221000,"[54,54,65,42,54,100,42,65,81,65,54,65]",1585047558,"Knowledge panel, Image pack, Site links, Video Carousel"
aryzta france,2,2,170,83.01,0.00,https://www.aryztafoodsolutions.fr/notre-societe,4,0.26,0.00,0,221000,"[54,54,65,42,54,100,42,65,81,65,54,65]",1585047558,"Knowledge panel, Image pack, Site links, Video Carousel"
boulangerie marques,67,67,170,80.62,0.00,https://www.aryztafoodsolutions.fr/,0,0,0.00,0.23,11100000,"[42,42,65,54,65,65,54,65,81,100,100,100]",1585259921,"Local pack, Image pack"
cafe starbucks,90,90,170,87.98,0.38,https://www.aryztafoodsolutions.fr/marques/Nos-Solutions-Cafe-Starbucks,0,0,0.00,0.25,179000000,"[22,28,28,44,34,28,28,66,81,100,81,66]",1585353722,"Knowledge panel, Local pack, Image pack, Site links, Shopping ads, Video Carousel"
martin diffusion,67,67,140,88.03,0.00,https://www.aryztafoodsolutions.fr/notre-societe/nos-implantations,0,0,0.00,0,181000000,"[35,35,65,35,42,42,35,42,42,35,54,100]",1584784836,"Knowledge panel, Image pack"
alternance développeur informatique,92,92,140,79.05,0.95,https://www.aryztafoodsolutions.fr/offre/-/9957,0,0,0.00,0.61,889000,"[13,22,28,100,66,81,100,81,16,22,13,16]",1584748980,"AdWords top, Jobs search, FAQ"
coup pate,2,2,140,79.21,0.00,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,3,0.2,0.00,0.12,5940000,"[52,52,52,52,52,67,67,81,100,81,67,100]",1584161044,"Knowledge panel, Site links, Reviews, Video, Video Carousel"
marques de pates,81,81,140,79.89,0.00,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,0,0,0.00,0.39,19300000,"[43,43,43,67,52,52,52,67,52,100,81,67]",1583965193,"Image pack, Reviews, Featured snippet"
boulangerie ferrieres,64,64,140,83.4,0.00,https://www.aryztafoodsolutions.fr/,0,0,0.00,0,344000,"[65,82,82,65,82,82,82,82,82,65,100,82]",1585263692,"Local pack, Image pack, Video"
coupdepates,3,3,140,73.23,0.00,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,2,0.13,0.00,0,614000,"[82,65,65,65,100,65,82,41,82,82,100,82]",1583389208,"Knowledge panel, Image pack, Site links, Reviews"
boul pat atlantique,42,42,140,85.16,0.00,https://www.aryztafoodsolutions.fr/Aryzta-Food-Solutions/Objets/Offres/Charg%C3%A9%28e%29%20de%20Client%C3%A8le%20en%20T%C3%A9l%C3%A9vente%20-%20Nantes%20%2844%29.pdf,0,0,0.00,0,86,"[33,43,81,67,67,67,33,81,100,67,52,52]",1585270851,"Knowledge panel, Image pack"
marque de donuts,50,50,140,78.58,0.00,https://www.aryztafoodsolutions.fr/marques/Otis-Spunkmeyer,0,0,0.00,0.43,10500000,"[42,27,42,19,19,100,100,81,54,42,42,27]",1583551415,"Image pack, Site links, Reviews, Featured snippet, Image"
bvp lomme,33,33,140,77.8,0.00,https://www.aryztafoodsolutions.fr/offre/-/11412,0,0,0.00,0,85,"[53,65,82,65,82,100,53,82,100,82,53,65]",1584432850,"Knowledge panel, Image pack, Site links, Video"
coupe pate boulanger,47,47,140,77.5,0.26,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,0,0,0.00,1,6620000,"[52,43,100,81,43,33,52,67,67,81,33,52]",1584102273,"Image pack, Site links, Reviews, Video"
coup de pattes,3,3,110,71.42,0.00,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,1,0.06,0.00,0,10900000,"[65,65,53,53,82,53,53,53,82,82,100,53]",1583569611,"Local pack, Image pack, Site links, Reviews, Video Carousel"
lettre de motivation chef de projet digital,56,56,110,79.51,2.50,https://www.aryztafoodsolutions.fr/nous-rejoindre/postuler?offre=11325,0,0,0.00,0.2,377000,"[53,65,100,53,53,65,65,53,65,65,65,41]",1583109429,"Image pack, Featured snippet"
boulangerie ferriere en brie,36,36,110,80.8,0.00,https://www.aryztafoodsolutions.fr/,0,0,0.00,0,81,"[19,15,27,100,27,15,27,100,8,27,42,100]",1583514177,"Local pack, Image pack, Reviews, Video"
hubert boulangerie,69,69,110,80.96,0.00,https://www.aryztafoodsolutions.fr/marques/Coup-de-pates,0,0,0.00,0.02,1680000,"[100,1,1,1,1,2,2,3,5,1,3,2]",1583436694,"Local pack, Image pack, Reviews, Video Carousel"
fabrice prochasson,36,36,110,72.6,0.00,https://www.aryztafoodsolutions.fr/notre-societe/nos-savoir-faire,0,0,0.00,0,42600,"[28,28,34,34,28,34,16,44,44,44,34,100]",1584433383,"Image pack, Video Carousel"
the food shop,61,61,110,77.54,0.10,https://www.aryztafoodsolutions.fr/Shop,0,0,0.00,0.08,10060000000,"[8,10,5,5,5,67,82,100,36,18,13,10]",1583673991,"Local pack, Image pack, Reviews"
