Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
pain au chocolat,88,89,27100,92.23,0.52,https://www.bridordefrance.com/bridor/fr/EUR/bridor/fr/EUR/p/32577,0,0,0.00,0.01,68500000,"[67,100,82,82,82,100,100,100,100,100,100,100]",1585569683,"Knowledge panel, Video, Image, Video Carousel"
baguette,80,86,22200,93.8,0.55,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Famille/Pains/Baguette-Caractere-280g/p/36831,0,0,0.00,0.05,115000000,"[45,55,55,55,55,67,67,67,82,67,67,100]",1585526721,"Knowledge panel, Top stories, Image, Video Carousel"
pain sans gluten,56,49,12100,77.57,0.21,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Categorie/Sans-Gluten/c/GlutenFree,1,0.02,0.00,0.99,27400000,"[82,100,82,100,100,82,82,82,100,100,82,100]",1585580423,"Image pack, Site links, Image, AdWords bottom, Video Carousel"
lenotre,44,15,9900,84.77,8.12,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Collection/Bridor-Une-Recette-Lenotre-Professionnel/c/LenotrePAIN,0,0,0.00,0.05,3690000,"[37,30,30,37,24,24,20,30,37,37,100,45]",1585594103,"Knowledge panel, Local pack, Top stories, Image pack, Site links, Image, Video Carousel"
chausson aux pommes,56,36,9900,89.39,0.00,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Famille/Viennoiseries/Chausson-aux-Pommes-105g/p/30228,0,0,0.00,0,433000,"[55,55,55,55,36,30,36,67,100,82,55,82]",1585547943,"Knowledge panel, Image, Video Carousel"
sans gluten,65,79,8100,85.38,0.13,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Categorie/Sans-Gluten/c/GlutenFree,0,0,0.00,0.33,109000000,"[82,82,82,82,82,82,100,100,82,82,82,100]",1585569696,"Local pack, Image pack, Site links, Featured snippet, People also ask"
pain de seigle,53,50,8100,85.95,0.73,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Famille/Pains/Petit-Pain-au-Seigle-45g/p/31480,0,0,0.00,0.05,2900000,"[67,82,67,82,67,55,67,82,82,82,100,100]",1585529915,"Knowledge panel, Site links, Featured snippet, Image, Video Carousel, People also ask"
extravagant,65,68,5400,92.75,0.44,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Famille/Viennoiseries/Pain-fourre/Extravagant-Trois-Chocolats-95g/p/37745,0,0,0.00,0.07,47300000,"[67,81,67,67,67,54,54,81,81,81,100,81]",1585549235,"Instant answer, Image pack, Video Carousel"
pochon,65,66,5400,90.89,0.17,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Famille/Pains/Le-Pochon-450g/p/32993,0,0,0.00,1,2730000,"[54,67,54,67,67,67,67,81,81,100,100,81]",1585523150,"Instant answer, Local pack, Image pack, Site links, Shopping ads, Video Carousel"
ciabatta,80,76,5400,85.51,0.00,https://www.bridordefrance.com/bridor/fr/EUR/Catalogue/Famille/Pains/Ciabatta-Nature-140g/p/37140,0,0,0.00,0.01,18500000,"[67,82,67,82,82,82,100,82,100,82,82,82]",1585580369,"Knowledge panel, Site links, Image, Video Carousel"
