Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
sandwich,67,70,60500,92.65,0.97,https://www.coupdepates.fr/actualite/fete-du-sandwich,0,0,0.00,0,940000000,"[55,67,67,82,82,100,82,82,82,67,55,67]",1585553209,"Knowledge panel, Local pack, Site links, Image, Video Carousel, FAQ"
muffin,96,97,49500,92.1,0.50,http://www.coupdepates.fr/produit/muffin-chocolat-25073,0,0,0.00,0.01,126000000,"[82,100,82,82,67,55,67,82,100,100,82,82]",1585573057,"Knowledge panel, Image, Video Carousel"
muffin chocolat,55,55,40500,89.19,3.12,http://www.coupdepates.fr/produit/muffin-chocolat-25073,4,0.07,12.00,0.16,7950000,"[67,82,82,82,67,55,55,67,100,100,82,82]",1585540946,"Image pack, Image, Video Carousel"
pastel de nata,28,32,33100,87.17,0.25,https://www.coupdepates.fr/produit/pastel-de-nata-o-60-27156,49,0.87,12.00,0.01,13700000,"[67,100,82,100,82,82,100,82,100,82,82,67]",1585598512,"Knowledge panel, Image, Video Carousel"
chouquette,57,61,33100,89.8,0.00,http://www.coupdepates.fr/produit/chouquette-sucre-25173,3,0.05,0.00,0.01,688000,"[82,100,67,67,55,55,55,67,100,100,82,82]",1585602172,"Knowledge panel, Site links, Video, Image, Video Carousel"
focaccia,90,83,33100,90.57,1.15,https://www.coupdepates.fr/produit/focaccia-au-romarin-29475,0,0,0.00,0,27600000,"[37,55,55,67,67,82,100,67,67,55,55,55]",1585540955,"Knowledge panel, Video, Image"
pates,91,93,33100,89.11,0.19,https://www.coupdepates.fr/liste-produits,0,0,0.00,0.03,8910000,"[55,55,55,55,55,67,67,82,100,82,82,100]",1585573118,"Knowledge panel, Local pack, Top stories, Site links, Image, Video Carousel"
donuts,69,46,33100,89.08,0.41,http://www.coupdepates.fr/produit/mini-donuts-assortis-25295,0,0,0.00,0.03,171000000,"[82,100,82,82,100,100,100,100,100,100,100,100]",1585606248,"Knowledge panel, Local pack, Image, Video Carousel"
burrito,41,41,33100,84.12,1.26,https://www.coupdepates.fr/produit/burrito-poulet-826148,9,0.16,12.00,0.01,63600000,"[67,67,67,67,67,82,82,82,100,82,82,100]",1585555228,"Knowledge panel, Local pack, Image, Video Carousel"
rocher coco,81,76,27100,87.18,0.16,https://www.coupdepates.fr/produit/mini-rocher-coco-25263,0,0,0.00,0.01,8660000,"[55,55,45,45,37,30,37,37,45,67,100,55]",1585530030,"Knowledge panel, Image, Video Carousel"
omelette norvégienne,88,88,22200,82.44,0.43,http://www.coupdepates.fr/produit/omelette-norvegienne-22396,0,0,0.00,0.01,174000,"[16,16,16,13,13,20,20,13,16,25,100,25]",1585580573,"Knowledge panel, Image, Video Carousel"
arancini,97,0,22200,85.42,0.00,https://www.coupdepates.fr/produit/arancini-aux-cepres-831312,0,0,0.00,0.01,13600000,"[67,82,67,82,67,82,100,100,100,100,82,100]",1585530068,"Knowledge panel, Image, Video Carousel"
creme diplomate,57,58,18100,84.57,0.00,https://www.coupdepates.fr/produit/millefeuille-patissier-creme-diplomate-sans-alcool-27162,1,0.01,0.00,0,124000,"[45,55,55,55,45,30,30,45,55,100,55,37]",1585544263,"Knowledge panel, Image, Video Carousel"
wedding cake,69,67,14800,83.29,0.19,http://www.coupdepates.fr/produit/pain-surprise-facon-wedding-cake-838202,0,0,0.00,0.04,645000000,"[55,82,82,82,82,100,100,100,100,82,67,100]",1585580409,"Knowledge panel, Local pack, Site links, Image, Video Carousel, FAQ"
