Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
fondant au chocolat,88,83,201000,86.23,0.12,https://www.delifrance.com/fr/coeur-fondant-chocolat.html,0,0,0.00,0.02,28900000,"[82,82,82,82,67,55,67,67,100,100,82,67]",1585547915,"Knowledge panel, Video, Image, Video Carousel"
sandwich,27,26,60500,92.65,0.97,https://www.delifrance.com/fr/nos-conseils/cat/conseil_sandwich,90,0.87,88.00,0,940000000,"[55,67,67,82,82,100,82,82,82,67,55,67]",1585553209,"Knowledge panel, Local pack, Site links, Image, Video Carousel, FAQ"
muffin,59,62,49500,92.1,0.50,https://www.delifrance.com/be_fr/muffin-chocolat-pepites-de-chocolat.html,4,0.03,2.00,0.01,126000000,"[82,100,82,82,67,55,67,82,100,100,82,82]",1585573057,"Knowledge panel, Image, Video Carousel"
paris brest,69,65,49500,88.66,0.59,https://www.delifrance.com/fr/patisserie/pate-a-chou/paris-brest.html,0,0,0.00,0.02,93100000,"[55,67,67,55,45,45,67,67,82,100,82,67]",1585533725,"Knowledge panel, Top stories, Image, Video Carousel, FAQ"
muffin chocolat,39,42,40500,89.19,3.12,https://www.delifrance.com/be_fr/muffin-chocolat-pepites-de-chocolat.html,28,0.27,88.00,0.16,7950000,"[67,82,82,82,67,55,55,67,100,100,82,82]",1585540946,"Image pack, Image, Video Carousel"
panini,42,38,40500,86.44,0.04,https://www.delifrance.com/fr/pain/pains-sandwich/panini.html,0,0,0.00,0.08,162000000,"[82,82,82,100,100,100,100,100,100,100,100,100]",1585580366,"Knowledge panel, Site links, Image, Video Carousel"
foret noire,71,66,33100,89.79,0.52,https://www.delifrance.com/worldwide_fr/foret-noire.html,0,0,0.00,0.02,9140000,"[55,55,45,55,45,55,55,55,67,82,100,67]",1585584126,"Knowledge panel, Local pack, Image, Video Carousel, FAQ"
pate a choux,78,0,33100,91.26,0.00,https://www.delifrance.com/worldwide_fr/pate-a-choux,0,0,0.00,0,2730000,"[55,67,55,55,37,30,37,37,67,67,100,55]",1585558824,"Knowledge panel, Image, Video Carousel"
pastel de nata,88,87,33100,87.17,0.25,https://www.delifrance.com/ch_fr/pastel-de-nata-precuit.html?___from_store=ch,0,0,0.00,0.01,13700000,"[67,100,82,100,82,82,100,82,100,82,82,67]",1585598512,"Knowledge panel, Image, Video Carousel"
croissant,18,16,33100,91.45,0.97,https://www.delifrance.com/fr/viennoiserie/croissant/croissant-droit.html,99,0.96,96.00,0,89800000,"[55,67,67,67,67,82,82,100,100,100,82,100]",1585551455,"Knowledge panel, Image, Video Carousel"
focaccia,83,75,33100,90.57,1.15,https://www.delifrance.com/be_fr/pain/pains-a-partager/focaccia.html,0,0,0.00,0,27600000,"[37,55,55,67,67,82,100,67,67,55,55,55]",1585540955,"Knowledge panel, Video, Image"
donuts,47,43,33100,89.08,0.41,https://www.delifrance.com/ch_fr/viennoiserie/us-bakery/donuts.html,9,0.08,4.00,0.03,171000000,"[82,100,82,82,100,100,100,100,100,100,100,100]",1585606248,"Knowledge panel, Local pack, Image, Video Carousel"
pain au chocolat,64,61,27100,92.23,0.52,https://www.delifrance.com/fr/pain-au-chocolat-s0124.html,0,0,0.00,0.01,68500000,"[67,100,82,82,82,100,100,100,100,100,100,100]",1585569683,"Knowledge panel, Video, Image, Video Carousel"
wrap,27,30,27100,88.44,0.31,https://www.delifrance.com/be_fr/wrap-1.html,40,0.39,12.00,0.03,1570000000,"[55,55,55,67,82,100,82,67,67,67,82,67]",1585576816,"Knowledge panel, Site links, Image, Video Carousel"
fondant chocolat,42,44,27100,86.51,0.80,https://www.delifrance.com/fr/coeur-fondant-chocolat.html,0,0,0.00,0.01,29300000,"[100,100,82,100,67,55,67,82,100,100,100,82]",1585551792,"Knowledge panel, Image, Video Carousel"
mille feuille,32,32,27100,87.63,0.00,https://www.delifrance.com/worldwide_fr/patisserie/mille-feuille.html,18,0.17,0.00,0.01,37800000,"[67,82,82,82,67,82,67,82,100,100,82,82]",1585576817,"Knowledge panel, Local pack, Site links, Video, Image, Video Carousel"
bagel,32,89,27100,86.81,0.63,https://www.delifrance.com/be_fr/bagel-nature.html,2,0.01,1.00,0.01,61400000,"[82,100,82,82,82,82,82,82,82,82,82,82]",1585540095,"Knowledge panel, Local pack, Site links, Image, Video Carousel"
tresse,83,74,22200,93.65,1.11,https://www.delifrance.com/worldwide_fr/viennoiserie/specialites/export-tresse.html,0,0,0.00,0,11900000,"[30,37,45,45,55,100,82,55,55,55,55,55]",1585584136,"Knowledge panel, Image, Video Carousel"
baguette,37,0,22200,93.8,0.55,https://www.delifrance.com/be_fr/pain/pains-a-partager/baguette.html,15,0.14,8.00,0.05,115000000,"[45,55,55,55,55,67,67,67,82,67,67,100]",1585526721,"Knowledge panel, Top stories, Image, Video Carousel"
baguette,36,34,22200,93.8,0.55,https://www.delifrance.com/be_fr/baguette-1.html,15,0.14,8.00,0.05,115000000,"[45,55,55,55,55,67,67,67,82,67,67,100]",1585526721,"Knowledge panel, Top stories, Image, Video Carousel"
feuilleté,55,45,22200,92,0.58,https://www.delifrance.com/fr/feuillete-pizza.html,2,0.01,1.00,0,2630000,"[37,45,45,55,45,37,45,45,55,67,100,67]",1585544430,"Knowledge panel, Image, Video Carousel"
entremet,43,41,18100,81.67,0.00,https://www.delifrance.com/worldwide_fr/patisserie/entremet.html,5,0.04,0.00,0,2850000,"[67,55,37,45,37,37,37,55,82,100,100,55]",1585587360,"Knowledge panel, Site links, Image, Video Carousel"
temps de cuisson,78,75,18100,83.15,0.00,https://www.delifrance.com/fr/nos-conseils/Remise_en_oeuvre_viennoiserie,0,0,0.00,0,59900000,"[55,67,67,67,45,37,45,45,55,67,100,67]",1585580583,"Site links, Image"
eclair,28,0,14800,87.72,0.00,https://www.delifrance.com/fr/patisserie/pate-a-chou/eclair-360.html,22,0.21,0.00,0,22400000,"[45,55,45,55,67,82,67,82,100,82,67,82]",1585569593,"Instant answer, Knowledge panel, Local pack, Site links, Image, Video Carousel"
eclair au chocolat,49,49,14800,87.66,0.29,https://www.delifrance.com/fr/eclair-au-chocolat.html,0,0,0.00,0.06,1020000,"[67,67,55,55,45,45,45,55,100,82,67,67]",1585537438,"Image pack, Site links, Image, Shopping ads, Video Carousel"
viennoiserie,2,2,14800,88.55,0.44,https://www.delifrance.com/fr/viennoiserie.html,384,3.74,169.00,0,8570000,"[67,82,67,67,82,82,82,100,100,100,82,100]",1585562458,"Knowledge panel, Local pack, Featured snippet, Image, Video Carousel"
peche melba,21,0,12100,90.18,0.24,https://www.delifrance.com/fr/la-peche-melba.html,18,0.17,4.00,0,121000,"[20,24,24,30,55,100,100,45,30,24,24,20]",1585541838,"Knowledge panel, Site links, Image, Video Carousel"
grand marnier,95,94,12100,87.44,0.50,https://www.delifrance.com/fr/salambo-au-grand-marnier.html,0,0,0.00,0.51,12900000,"[55,45,36,45,36,45,55,45,55,55,100,67]",1585605694,"Knowledge panel, Site links, Image, People also ask"
feuilleté saucisse,42,40,12100,89.93,0.00,https://www.delifrance.com/worldwide_fr/75121-feuillete-fourre-saucisse.html,3,0.02,0.00,0.01,415000,"[24,24,20,24,20,20,20,20,30,30,100,30]",1585548603,"Image pack, Image, Video Carousel"
pomme d amour,92,94,9900,89.65,0.28,https://www.delifrance.com/fr/pomme-amour.html,0,0,0.00,0.05,14900000,"[67,55,55,55,45,55,55,55,100,82,82,82]",1585537498,"Knowledge panel, Local pack, Image, Video Carousel, FAQ"
croissant au jambon,86,0,9900,88.66,0.00,https://www.delifrance.com/fr/croissant-jambon-fromage-3297.html,0,0,0.00,0,2610000,"[67,82,67,100,55,45,55,82,100,100,82,100]",1585606374,"Knowledge panel, Video, Image, Video Carousel"
brownies,74,73,9900,89.63,5.07,https://www.delifrance.com/worldwide_fr/s2195-brownies.html,0,0,0.00,0.01,87700000,"[82,100,82,67,55,55,55,67,100,82,67,67]",1585565900,"Knowledge panel, Image, Video Carousel"
