Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
panini,91,0,40500,86.44,0.04,https://www.lantmannen-unibake.com/fr-FR/Produits/Pains/panini/panini-avec-herbes-grille-pre-coupe-130g---26-cm/,0,0,0.00,0.08,162000000,"[82,82,82,100,100,100,100,100,100,100,100,100]",1585580366,"Knowledge panel, Site links, Image, Video Carousel"
donuts,95,0,33100,89.08,0.41,https://www.lantmannen-unibake.com/fr-FR/Produits/sweet-moments/donuts/mini-mix-donuts/,0,0,0.00,0.03,171000000,"[82,100,82,82,100,100,100,100,100,100,100,100]",1585606248,"Knowledge panel, Local pack, Image, Video Carousel"
viennoiserie,38,37,14800,88.55,0.44,https://www.lantmannen-unibake.com/fr-FR/Produits/sweet-moments/viennoiserie/,1,0.43,0.00,0,8570000,"[67,82,67,67,82,82,82,100,100,100,82,100]",1585562458,"Knowledge panel, Local pack, Featured snippet, Image, Video Carousel"
buns,90,88,12100,86.69,0.66,https://www.lantmannen-unibake.com/fr-FR/Produits/Sur-le-Pouce/Burger-Bun/,0,0,0.00,0.43,88200000,"[45,45,45,100,55,67,67,55,67,55,55,67]",1585537338,"Knowledge panel, Local pack, Image, Video Carousel"
ciabatta,63,81,5400,85.51,0.00,https://www.lantmannen-unibake.com/fr-BX/Produits/Pains/ciabattas/ciabatta/,0,0,0.00,0.01,18500000,"[67,82,67,82,82,82,100,82,100,82,82,82]",1585580369,"Knowledge panel, Site links, Image, Video Carousel"
bun,34,45,5400,87.74,0.87,https://www.lantmannen-unibake.com/fr-BX/Produits/Sur-le-Pouce/Burger-Bun/giant-hamburger-bun-sesame/,3,1.31,3.00,0.01,515000000,"[67,82,67,82,67,82,82,82,82,100,82,100]",1585574241,"Instant answer, Knowledge panel, Site links, Image, Video Carousel"
roulé saucisse,29,30,3600,90.15,0.00,https://www.lantmannen-unibake.com/fr-FR/Produits/Sur-le-Pouce/specialites-salees-de-pate-feuilletee/roule-au-saucisse/,5,2.18,0.00,0,351000,"[20,20,20,30,20,20,24,24,30,30,100,30]",1585600426,"Image pack, Video, Image"
pain de campagne,61,64,3600,86.68,0.00,https://www.lantmannen-unibake.com/fr-FR/Produits/Pains/pains-rustiques-350g/pain-de-campagne/,0,0,0.00,0.01,27100000,"[66,66,55,66,55,66,82,82,100,100,100,100]",1585569733,"Knowledge panel, Image, Video Carousel, People also ask"
canaux de distribution,89,88,3600,76.02,0.91,https://www.lantmannen-unibake.com/fr-FR/-propos-de-nous/canaux-de-distribution/,0,0,0.00,0,15300000,"[44,67,44,55,36,20,13,55,67,100,67,82]",1585562396,"Knowledge panel, Featured snippet"
boule de berlin,64,64,2400,86.56,0.00,https://www.lantmannen-unibake.com/fr-FR/Produits/sweet-moments/autres-specialites-sucres/boule-de-berlin/,0,0,0.00,0,4680000,"[100,100,53,44,81,44,44,44,53,53,53,81]",1585191807,"Knowledge panel, Image, Video Carousel"
decongeler pain,88,88,1900,83.04,0.02,https://www.lantmannen-unibake.com/fr-FR/Produits/Sur-le-Pouce/pain-hot-dog/pain-hot-dog-classic-blanc/,0,0,0.00,0.03,39700,"[83,66,66,83,66,34,66,83,66,34,83,100]",1585162815,"Featured snippet, Video Carousel, People also ask"
