Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
pastel de nata,43,44,33100,87.17,0.25,https://www.neuhauser.fr/produits/pastel-de-nata/158,9,0.29,2.00,0.01,13700000,"[67,100,82,100,82,82,100,82,100,82,82,67]",1585598512,"Knowledge panel, Image, Video Carousel"
croissant,53,37,33100,91.45,0.97,https://www.neuhauser.fr/produits/croissant-4/128,3,0.09,3.00,0,89800000,"[55,67,67,67,67,82,82,100,100,100,82,100]",1585551455,"Knowledge panel, Image, Video Carousel"
pain au chocolat,71,73,27100,92.23,0.52,https://www.neuhauser.fr/produits/pain-au-chocolat-4/130,0,0,0.00,0.01,68500000,"[67,100,82,82,82,100,100,100,100,100,100,100]",1585569683,"Knowledge panel, Video, Image, Video Carousel"
viennoiserie,50,66,14800,88.55,0.44,https://www.neuhauser.fr/produits/viennoiseries,0,0,0.00,0,8570000,"[67,82,67,67,82,82,82,100,100,100,82,100]",1585562458,"Knowledge panel, Local pack, Featured snippet, Image, Video Carousel"
chausson aux pommes,41,42,9900,89.39,0.00,https://www.neuhauser.fr/produits/chausson-aux-pommes/109,2,0.06,0.00,0,433000,"[55,55,55,55,36,30,36,67,100,82,55,82]",1585547943,"Knowledge panel, Image, Video Carousel"
batard,75,75,9900,93.31,0.00,https://www.neuhauser.fr/produits/batard-mais-et-graines-de-tournesol/27,0,0,0.00,0,2790000,"[82,82,82,100,82,100,82,82,67,82,82,82]",1585548633,"Instant answer, Image pack, Site links, Video Carousel"
pain bagnat,60,71,8100,88.7,0.00,https://www.neuhauser.fr/produits/pain-bagnat/50,0,0,0.00,0.01,185000,"[30,45,45,55,67,100,100,45,45,36,30,45]",1585524099,"Knowledge panel, Image, Video Carousel"
tarte au flan,59,61,8100,86.92,0.00,https://www.neuhauser.fr/produits/tarte-au-flan/157,0,0,0.00,0,7290000,"[82,100,82,82,67,55,67,67,100,100,55,67]",1585531169,"Knowledge panel, Image pack, Site links, Image, Video Carousel"
paté lorrain,26,28,8100,82.79,0.19,https://www.neuhauser.fr/produits/pate-lorrain/236,12,0.39,2.00,0.03,73400,"[55,55,55,45,30,36,55,82,67,82,100,67]",1585526481,"Knowledge panel, Image, Video Carousel"
poids baguette,17,18,5400,79.12,0.00,https://www.neuhauser.fr/produits/baguette-blanche-64-cm/86,21,0.68,0.00,0,6670000,"[82,100,100,82,67,67,67,67,67,67,55,82]",1585571792,"Site links, Featured snippet, Image, People also ask"
