Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
fricandelle,85,85,2400,77.72,0.00,http://www.panistar.com/fr/pain-saucisse-fricandelle,0,0,0.00,0.03,22000,"[55,66,83,83,66,83,100,66,83,83,66,83]",1585083575,"Knowledge panel, Site links, Image, Video Carousel"
couque suisse,46,46,590,82.1,0.00,http://www.panistar.com/fr/produits/couque-suisse,0,0,0.00,0,21600,"[55,67,55,55,55,82,100,67,82,100,67,67]",1585420649,"Knowledge panel, Image, Video Carousel"
gosette,62,62,320,82.15,0.00,http://www.panistar.com/fr/gosette-abricot,0,0,0.00,0,43800,"[44,54,54,67,54,100,100,67,81,67,54,100]",1584592294,"Knowledge panel, Reviews, Image, Video Carousel"
viennoiserie surgelé,95,95,210,75.76,0.72,http://www.panistar.com/,0,0,0.00,1,173000,"[81,81,81,81,54,54,65,65,81,81,81,100]",1584860232,"Image pack, Site links, Video Carousel"
croissant sucre,54,54,170,85.66,0.00,http://www.panistar.com/fr/croissant-sucr%C3%A9-0,0,0,0.00,0,5230000,"[54,65,65,100,54,54,42,65,65,65,54,65]",1584602627,"Instant answer, Knowledge panel, Reviews, Image, Video Carousel"
croissant sucré,48,48,140,74.66,0.00,http://www.panistar.com/fr/croissant-sucr%C3%A9-0,0,0,0.00,0,7480000,"[42,54,65,54,54,65,65,100,54,54,42,65]",1583211664,"Instant answer, Image pack, Reviews, Image, Video Carousel"
boterkoek,58,58,110,67.98,0.00,http://www.panistar.com/nl/boterkoek-chocoladedrops,0,0,0.00,0,0,"[64,50,79,79,64,64,64,100,64,79,100,64]",1583266327,"Knowledge panel, Reviews, Image, Video Carousel"
disque de feuilletage,7,7,90,66.05,0.00,http://www.panistar.com/fr/disque-feuilletage-%C3%B8-18-cm,3,42.85,0.00,0.77,140000,"[14,14,29,14,14,14,100,43,100,14,14,14]",1583949449,"Image pack, Reviews, Video, Image"
gosette aux abricots,43,43,70,81.46,0.00,http://www.panistar.com/fr/gosette-abricot,0,0,0.00,0,15900,"[11,0,11,44,0,100,0,0,33,11,11,0]",1583501033,"Image pack, Reviews, Video, Image"
bloc pate feuilletée,61,61,70,81.71,0.00,http://www.panistar.com/fr/bloc-feuilletage,0,0,0.00,0.47,41800,"[25,25,50,25,100,25,25,25,25,25,25,25]",1585313255,"Image pack, Image, Shopping ads, Video Carousel"
vbvcb,4,4,70,76.04,0.00,http://www.panistar.com/fr/vbvcb,4,57.14,0.00,0,81,"[33,33,33,33,33,33,33,33,33,33,100,33]",1583100359,Video Carousel
tortillon au sucre,22,22,50,77.22,0.00,http://www.panistar.com/nl/node/39,0,0,0.00,0,44200,"[25,25,25,25,25,25,25,75,25,100,25,25]",1585264322,"Image pack, Image, Video Carousel"
la couque au beurre,29,29,50,72.56,0.00,http://www.panistar.com/fr/produits/couque-au-beurre,0,0,0.00,0,135000,"[25,25,25,25,25,25,25,25,25,25,100,75]",1585200527,"Knowledge panel, Image pack, Video, Image"
fabricant de viennoiserie surgelée,16,16,40,68.52,0.00,http://www.panistar.com/,0,0,0.00,0.59,100,"[0,22,11,11,11,0,11,0,100,11,11,100]",1584088657,"Image pack, Video Carousel"
e621 e627 e631 halal,41,41,40,67.03,0.00,http://www.panistar.com/sites/default/files/fiches_technique/051_pain_fricandelle_halal.pdf,0,0,0.00,0,71,"[0,0,100,0,0,0,0,0,0,0,0,0]",1585253287,"Image pack, Video"
