Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
plein champ,92,90,135000,84.62,0.56,https://www.transgourmet.fr/actualites-et-evenements/actualites/le-retour-de-la-tomate-locale-de-plein-champ,0,0,0.00,0,90500000,"[30,45,67,82,100,82,67,55,67,55,37,30]",1585576810,"Site links, Video Carousel"
creme brulee,53,49,49500,89.51,0.32,https://www.transgourmet.fr/livraison/transgourmet/nos-partenaires/debic/appareil-creme-brulee,4,0.01,1.00,0.03,20400000,"[100,100,82,82,55,55,67,67,82,100,100,82]",1585584076,"Knowledge panel, Image, Video Carousel"
poulet,70,65,49500,93.09,0.41,https://www.transgourmet.fr/le-poulet-fermier-dargoat-un-poulet-heureux,0,0,0.00,0.01,59200000,"[67,67,67,67,55,67,67,82,82,82,100,100]",1585558648,"Knowledge panel, Local pack, Top stories, Site links, Image, Video Carousel"
bp,58,62,40500,86.38,0.62,https://www.transgourmet.fr/le-groupe/nous-connaitre/implantations/transgourmet-bp-alsace-nord,4,0.01,2.00,0.03,1430000000,"[82,100,82,82,82,100,82,100,100,100,100,100]",1585599034,"Knowledge panel, Local pack, Top stories, Site links, FAQ"
croissant,91,0,33100,91.45,0.97,https://www.transgourmet.fr/livraison/transgourmet/nos-partenaires/eclat-du-terroir/croissant-beurre-fin-pret-cuire,0,0,0.00,0,89800000,"[55,67,67,67,67,82,82,100,100,100,82,100]",1585551455,"Knowledge panel, Image, Video Carousel"
bouchée à la reine,93,89,33100,90.95,0.62,https://www.transgourmet.fr/livraison/transgourmet/nos-partenaires/basso-traiteur/garniture-bouchee-reine,0,0,0.00,0,476000,"[25,25,25,25,13,11,16,30,45,45,100,45]",1585566217,"Knowledge panel, Image, Video Carousel"
boulangerie pâtisserie,63,62,33100,78.9,0.67,https://www.transgourmet.fr/livraison/transgourmet/votre-metier/boulangerie-patisserie,0,0,0.00,0.01,177000000,"[45,67,55,55,55,82,100,67,67,55,55,55]",1585526368,"Local pack, Top stories, Image pack, Site links, Video Carousel"
agneau,81,85,27100,81.84,0.19,https://www.transgourmet.fr/livraison/transgourmet/nos-produits/viandes-abats-charcuteries/agneau,0,0,0.00,0.01,15700000,"[55,67,100,67,55,67,100,67,82,82,100,82]",1585576683,"Knowledge panel, Site links, Image, Video Carousel"
ca centre ouest,93,0,22200,77.66,0.00,https://www.transgourmet.fr/,0,0,0.00,0,90100000,"[100,100,100,100,100,100,82,82,100,100,100,100]",1585594424,"Local pack, Image pack, Site links"
transgourmet,1,1,22200,77.65,38.39,https://www.transgourmet.fr/,17760,62.21,681806.00,0.1,673000,"[82,100,82,100,82,82,67,82,100,100,82,100]",1585572259,"Knowledge panel, Local pack, Image pack, Site links, Video Carousel"
pruneaux,73,69,18100,84.29,0.39,https://www.transgourmet.fr/livraison/transgourmet/nos-partenaires/maitre-prunille/specialite-aux-pruneaux-et-aux-pommes,0,0,0.00,0.05,1870000,"[55,67,55,67,67,82,100,100,82,82,82,82]",1585576872,"Knowledge panel, Site links, Image, AdWords bottom, Video Carousel, People also ask"
creme caramel,84,75,18100,91.07,0.58,https://www.transgourmet.fr/livraison/transgourmet/nos-partenaires/debic/appareil-pour-creme-caramel,0,0,0.00,0.05,61000000,"[82,100,82,82,55,55,67,82,100,100,82,100]",1585598379,"Knowledge panel, Image, Video Carousel"
scamorza,62,61,18100,82.05,0.00,https://www.transgourmet.fr/livraison/transgourmet/nos-partenaires/ambrosi/scamorza-fumee-liee-piece-de-300-g,0,0,0.00,0,2010000,"[55,55,67,67,82,82,100,82,82,82,82,82]",1585592883,"Knowledge panel, Image, Video Carousel"
