Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
patisserie,56,82,110000,85.14,0.81,https://vandemoortele.com/fr-fr/brand/la-patisserie-du-chefr,11,0.22,8.00,0.01,169000000,"[55,67,67,67,67,81,100,81,81,81,81,67]",1585580416,"Local pack, Top stories, Image pack, Site links, Image, Video Carousel"
muffin,53,57,49500,92.1,0.50,https://vandemoortele.com/fr-fr/product/muffin-premium-fourre-vanille-chocolat-my-original-muffinsr,4,0.08,2.00,0.01,126000000,"[82,100,82,82,67,55,67,82,100,100,82,82]",1585573057,"Knowledge panel, Image, Video Carousel"
pâtisserie,75,68,40500,88.63,0.45,https://vandemoortele.com/fr-fr/brand/la-patisserie-du-chefr,0,0,0.00,0.01,209000000,"[67,67,67,67,67,82,100,100,100,100,100,82]",1585540850,"Knowledge panel, Local pack, Site links, Image, Video Carousel"
focaccia,96,93,33100,90.57,1.15,https://vandemoortele.com/fr-fr/product/focaccia-traditionnelle-lanternar,0,0,0.00,0,27600000,"[37,55,55,67,67,82,100,67,67,55,55,55]",1585540955,"Knowledge panel, Video, Image"
viennoiserie,40,47,14800,88.55,0.44,https://vandemoortele.com/fr-be/nos-produits/produits-de-boulangerie/viennoiserie,1,0.02,0.00,0,8570000,"[67,82,67,67,82,82,82,100,100,100,82,100]",1585562458,"Knowledge panel, Local pack, Featured snippet, Image, Video Carousel"
margarine,98,0,9900,80.52,1.69,https://vandemoortele.com/fr-be/margarines-culinary-oils-fats/margarines-and-blends/margarine-creamy-taste,0,0,0.00,0.06,22400000,"[67,67,67,67,55,55,67,67,82,100,100,100]",1585530239,"Knowledge panel, Featured snippet, Image, Video Carousel, People also ask"
pizza chevre miel,84,87,8100,85.19,0.25,https://vandemoortele.com/fr-fr/recipe/pizza-chevre-miel-aux-noix-de-pecan,0,0,0.00,0.02,378000,"[67,82,82,82,67,82,100,82,100,100,82,100]",1585546472,"Image pack, Image, Video Carousel"
gold cup,16,15,8100,86.64,0.00,https://vandemoortele.com/fr-be/nos-marques/gold-cupr,8,0.16,0.00,0.06,1290000000,"[1,4,4,3,100,100,2,2,2,2,1,1]",1585591421,"Knowledge panel, Site links, Video Carousel"
biscuit joconde,54,52,8100,85.64,0.00,https://vandemoortele.com/fr-be/product/feuille-biscuit-joconde,0,0,0.00,0,208000,"[37,30,20,20,16,11,13,16,45,67,100,20]",1585563074,"Knowledge panel, Video, Image, Video Carousel"
fama,38,38,5400,63.18,5.86,https://vandemoortele.com/fr-be/nos-marques/famar,0,0,3.00,0.01,138000000,"[54,54,54,67,54,100,54,67,81,67,44,67]",1585551447,"Local pack, Site links, FAQ"
javanais,97,0,4400,86,0.00,https://vandemoortele.com/fr-be/product/javanais-en-plaque,0,0,0.00,0,652000,"[67,81,67,81,67,100,81,67,67,100,81,81]",1585584288,"Knowledge panel, Image pack, Site links, Featured snippet, Image, Video Carousel"
huile de tournesol,79,83,4400,83.53,0.20,https://vandemoortele.com/fr-be/product/vandemoorteler-huile-de-tournesol-1-l,0,0,0.00,0.73,9570000,"[67,67,67,81,67,67,81,81,81,81,81,100]",1585537296,"Knowledge panel, Site links, Video Carousel, People also ask"
chocolat liégeois,39,39,4400,87.43,2.51,https://vandemoortele.com/fr-be/produit/chocolat-liegeois,3,0.06,7.00,0.1,330000,"[67,67,54,54,67,81,100,67,100,100,100,81]",1585602173,"Knowledge panel, Image, Video Carousel"
kofte,56,54,4400,80.37,0.00,https://vandemoortele.com/fr-be/recette/kofte-brochettes-de-hache-dagneau,0,0,0.00,0,11300000,"[55,67,67,82,67,67,67,82,82,82,82,100]",1585523007,"Knowledge panel, Image, Video Carousel"
sandwich americain,92,86,4400,77.04,0.00,https://vandemoortele.com/fr-be/recipe/mini-sandwich-lamericain-prepare,0,0,0.00,0.01,800000,"[54,67,54,81,67,100,100,81,81,81,67,100]",1585540846,"Knowledge panel, Local pack, Site links, Image, Video Carousel"
sauce andalouse,47,47,4400,79.6,0.00,https://vandemoortele.com/fr-fr/product/sauce-snack-rissor-andalouse,1,0.02,0.00,0.02,217000,"[81,81,81,81,81,81,81,81,100,100,81,100]",1585552437,"Knowledge panel, Image, Video Carousel"
graisse de boeuf,20,22,3600,80.94,0.12,https://vandemoortele.com/fr-fr/brand/blanc-de-boeufr,10,0.2,1.00,0.99,1190000,"[66,66,66,66,55,66,100,82,82,66,100,100]",1585527830,"Knowledge panel, Image, Video Carousel, People also ask"
graisse de boeuf,19,19,3600,80.94,0.12,https://vandemoortele.com/fr-fr/product/ossewitr-blanc-de-boeuf-25-kg,10,0.2,1.00,0.99,1190000,"[66,66,66,66,55,66,100,82,82,66,100,100]",1585527830,"Knowledge panel, Image, Video Carousel, People also ask"
banquet,36,36,3600,89.17,3.65,https://vandemoortele.com/fr-fr/marque/banquet-dor,2,0.04,9.00,0.02,220000000,"[44,67,54,54,54,54,44,67,81,81,81,100]",1585583930,"Knowledge panel, Local pack, Featured snippet, Video Carousel, FAQ"
chausson au pomme,86,80,2900,89.2,0.00,https://vandemoortele.com/fr-fr/product/chausson-pommes-compote,0,0,0.00,0.01,4800000,"[44,100,44,44,30,30,35,54,81,81,54,81]",1585600012,"Knowledge panel, Image, Video Carousel"
blanc de boeuf,12,12,2900,81.99,0.16,https://vandemoortele.com/fr-fr/brand/blanc-de-boeufr,37,0.77,6.00,0.98,22900000,"[55,55,82,66,43,55,100,100,66,66,55,100]",1585526499,"Image pack, Site links, Image, Shopping ads, Video Carousel"
beurre de tourage,52,52,2900,72.27,0.19,https://vandemoortele.com/fr-fr/produit/st-villepre-beurre-de-tourage-2x1-kg,0,0,0.00,1,58900,"[23,23,20,20,16,12,16,23,36,44,54,100]",1585569605,"Image pack, Site links, Image, Video Carousel, People also ask"
stracchino,42,44,2900,78.43,0.00,https://vandemoortele.com/fr-be/product/focaccia-au-fromage-stracchino,0,0,0.00,0,1230000,"[43,55,55,55,55,82,100,66,66,55,55,66]",1585540877,"Knowledge panel, Image, Video Carousel"
